Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
OXY,Occidental Petroleum Corp,50.51,0.09,0.18%,50.89,50.04,4028230,14:34 ET
PARA,Paramount Global Cl B,10.95,-0.03,-0.27%,10.98,10.79,2883695,14:33 ET
PAYX,Paychex Inc,144.89,-0.56,-0.39%,145.74,144,579272,14:34 ET
PCAR,Paccar Inc,117,0.76,0.65%,117.53,116.38,966239,14:34 ET
PEG,Public Service Enterprise Group Inc,92.25,-0.02,-0.02%,93.36,92.08,782733,14:35 ET
PEP,Pepsico Inc,162.18,-0.87,-0.53%,163.05,161.42,1878872,14:35 ET
PFG,Principal Financial Group Inc,85.17,-0.25,-0.29%,85.81,84.5843,442017,14:34 ET
PG,Procter & Gamble Company,176.44,-3.26,-1.81%,179.62,176.25,3577964,14:35 ET
PH,Parker-Hannifin Corp,699.04,-1.65,-0.24%,701.53,693.92,118054,14:32 ET
PHM,Pultegroup,134.38,-0.76,-0.56%,136.14,133.94,326988,14:34 ET
PLD,Prologis Inc,116.82,0.98,0.85%,117.1,115.59,1428072,14:35 ET
PNC,PNC Bank,209.59,-1.77,-0.84%,212.625,208.29,604002,14:34 ET
PNR,Pentair Ltd,109.24,0.32,0.29%,109.455,108.13,359024,14:34 ET
POOL,Pool Corp,376.33,0.36,0.10%,379.46,374.6356,126445,14:29 ET
PPG,PPG Industries,126.18,0.21,0.17%,126.75,124.75,944242,14:34 ET
PRU,Prudential Financial Inc,127.3,-1.11,-0.86%,128.72,126.31,505842,14:34 ET
PSA,Public Storage,337.68,-6.39,-1.86%,345.1,337.07,207889,14:34 ET
PSX,Phillips 66,135.58,-0.85,-0.62%,138,135.215,863971,14:35 ET
PWR,Quanta Services,339.73,-2.6,-0.76%,343.48,338.599,275771,14:35 ET
PYPL,Paypal Holdings,85.31,-1.22,-1.41%,86.4,84.615,4499346,14:34 ET
QCOM,Qualcomm Inc,161.93,-1.1,-0.67%,163.86,161.32,3583470,14:35 ET
RCL,Royal Caribbean Cruises Ltd,245.81,-0.6,-0.24%,248.88,243.6812,630628,14:35 ET
REG,Regency Centers Corp,74.84,0.21,0.28%,75.47,74.31,467737,14:33 ET
REGN,Regeneron Pharmaceuticals,751.21,-11.13,-1.46%,770,747.565,300555,14:34 ET
RF,Regions Financial Corp,26.4,-0.13,-0.49%,26.65,26.185,2799249,14:34 ET
RJF,Raymond James Financial,165.26,-1.69,-1.01%,168.24,164.807,584073,14:33 ET
RL,Ralph Lauren Corp,232.42,-0.99,-0.42%,235.62,232.24,240327,14:33 ET
RMD,Resmed Inc,248.21,3.29,1.34%,249.135,244.34,236991,14:33 ET
ROK,Rockwell Automation Inc,292.65,-4.47,-1.50%,297,290.83,329979,14:34 ET
ROST,Ross Stores Inc,154.46,-1.9,-1.22%,156.75,153.74,692982,14:35 ET
RSG,Republic Services,215.42,0.46,0.21%,215.56,213.7,295838,14:33 ET
RVTY,Revvity Inc,115.11,-1.59,-1.36%,117.05,114.64,278416,14:34 ET
SBAC,SBA Communications,224.06,1.12,0.50%,225.235,222.495,314599,14:34 ET
SBUX,Starbucks Corp,101.95,0.44,0.43%,102.12,99.89,2906502,14:35 ET
SCHW,The Charles Schwab Corp,81.17,-0.22,-0.27%,81.97,80.88,2013212,14:34 ET
SHW,Sherwin-Williams Company,394.5,-1.08,-0.27%,398,390.365,385805,14:32 ET
SJM,J.M. Smucker Company,118.07,-1.51,-1.26%,119.64,116.84,434722,14:34 ET
SLB,Schlumberger N.V.,43.83,0.2,0.46%,44.23,43.1,3885175,14:34 ET
SPGI,S&P Global Inc,519.93,-2.94,-0.56%,524.9699,518.45,383585,14:35 ET
SRE,Sempra,92.92,0.82,0.89%,93.58,92.09,2005914,14:35 ET
STT,State Street Corp,98.01,-0.02,-0.02%,99.5,97.88,950733,14:34 ET
SW,Smurfit Westrock Plc,55.17,0.06,0.11%,55.4,54.6,1393287,14:33 ET
SWK,Stanley Black & Decker Inc,87.79,-1.28,-1.44%,89.47,87.77,744042,14:35 ET
SYF,Synchrony Financial,67.43,0.34,0.51%,69,66.88,1709188,14:35 ET
SYK,Stryker Corp,390.39,0.76,0.20%,389.8459,386.46,501781,14:35 ET
SYY,Sysco Corp,79.33,3.06,4.01%,79.09,76.34,2197722,14:34 ET
T,AT&T Inc,23.54,0.84,3.70%,24.03,23.38,39122642,14:34 ET
TAP,Molson Coors Brewing Company,61.5,-0.31,-0.50%,62.3,60.775,1023574,14:35 ET
TEL,Te Connectivity Ltd,152.28,-2.05,-1.33%,154.66,151.6,609735,14:33 ET
TFC,Truist Financial Corp,46.41,-0.57,-1.21%,47.06,46.2,2649458,14:34 ET
TFX,Teleflex Inc,188.38,-5.93,-3.05%,195.24,185.27,247757,14:34 ET
